id,text,clean_text,eng
b'gAAAAABkk1GUolkciaDmo-5YAg4AJ6-jcwaEGSJtIOSAL_FRjrHrisNifTqILTdc66GTpaYM2lzYG-FAw7cIah_6KRmJFYzTRN0pIprv55De_ItDAuJ8Ju0=',¿Deberíamos mercantilizar a las madres? Déjanos saber tu opinión en los comentarios 👇️\n\n👉 Ayuda gratuita para hacerte vegan: https://t.co/hQhiQsMxuQ\n\n📸 @natacha_poet\n\n#veganfta #huevosrancheros #amoranimal #desayunofitness #sinhuevo #ovarios #mujeresapoyandomujeres #eggless https://t.co/nG5Av7ZnkI,¿deberíamos mercantilizar a las madres déjanos saber tu opinión en los comentarios ayuda gratuita para hacerte vegan veganfta huevosrancheros amoranimal desayunofitness sinhuevo ovarios mujeresapoyandomujeres eggless,Should we commercialize mothers let us know your opinion in the comments free help to make you vegan vegan egg ranchers amoranimal breakfastfitness eggless ovaries womensupporting women eggles
b'gAAAAABkk1GUoO9WJ5jCL83Z0hl3luSktWa0SE_Yi0SLJwvuHYrh7L5ex2nIcmXh4mP3WYUVySragf7LNkDjF2nWbdnRcaj2ZA3AD8Fs3FPpmmrvWXT0mWw=',.@PartidoPACMA ha sido el único partido al que le ha importado esto y expongo todo lujo de detalles en mi artículo de opinión para .@DiarioSigloXXI de manera contundente y a favor del #veganismo.\n\nhttps://t.co/TFdYeQfR0T,ha sido el único partido al que le ha importado esto y expongo todo lujo de detalles en mi artículo de opinión para de manera contundente y a favor del veganismo,It was the only party that cared about this and I set out every luxury of detail in my opinion article for a strong and pro-Veganism approach.
b'gAAAAABkk1GUhBX3V0ilaijS-7YPZ458_o6Ek-EeBlY9rOlri7d1UX-KXaV1OfNdnimLNN64YH6-07vwooFbZCtEQMPGbRM8tkwV-9Sq_glWxcIoxj3t1zc=',"@FariMahatma @estuveayer @PODEMOS Es decir, eres un supuesto vegano que defiendes una ley de Desprotección animal y el maltrato de millones de animales.\n\nEsto es podemos...",es decir eres un supuesto vegano que defiendes una ley de desprotección animal y el maltrato de millones de animalesesto es podemos,"I mean, you're supposed to be a vegan who defends a law of animal protection and the abuse of millions of animals."
b'gAAAAABkk1GUxiQpDBXKRvp1RzcF4bWEjOD7E-NNup44svWGn5pMPjsfO3hatjdLMUn3oysSucfz-PXpxcxXuCRzjpqQ-ELvhs1KHgEBBOgMSwEYICj8Ck0=',"Constante cuidado, teniendo que hacer turnos durante la noche y durmiendo menos en días de clases para poder salvar a gatos bebés, nunca hemos comprado ningún animal y llevamos +5 años siendo veganos ambos, él lleva +7 si no me equivoco. Literalmente todo lo que hemos hecho+",constante cuidado teniendo que hacer turnos durante la noche y durmiendo menos en días de clases para poder salvar a gatos bebés nunca hemos comprado ningún animal y llevamos años siendo veganos ambos él lleva si no me equivoco literalmente todo lo que hemos hecho,constant care having to do shifts at night and sleeping less on school days so we can save baby cats we've never bought any animals and we've been vegan for years both he takes if I'm not literally wrong all we've done
b'gAAAAABkk1GUgOcx4w14yx33zO_vT3X6ukvEyLov9XwX5OSyMJkXWHnK3eeix51TcqQzw-1iW9pIJU5djDqe0RaL2eytTgAiZqYJJz39UjhuUngxVjTMhi4=',"@BrocoLooco ""Erradicación de veganismo,ideas retrógradas"",¿De dónde salió este elemento?",erradicación de veganismoideas retrógradas¿de dónde salió este elemento,"the eradication of retrograde vegans, where did this element come from?"
b'gAAAAABkk1GU_gHnvPK-j67DLHXyWV5ftPNG0aFh-wWTG5SpEJpeu2Rp_ALlmiK3c11QTZjhAIngTmpcRJa9DBGKO4eePNONju_pI31EFHs6pd4NSgeSZrE=',"@andaressalud @FuturoVegetal @PSOE @ppopular “Lo nada acertado que es el veganismo”, todavía no has podido defender tus argumentos con ciencia https://t.co/ipi043UeKp",“lo nada acertado que es el veganismo” todavía no has podido defender tus argumentos con ciencia,“What’s not right about veganism” you still haven’t been able to defend your arguments with science
b'gAAAAABkk1GUoxBB_6wT72pIk1jjxMmqVPCtenzdCc9Kp0bKFevYyXPrlx3XL-XKPYrzD-Mr0nZOrD2k94YflGybzEyP4WAYc6XaM5JXqZxnO2S0f0FpKFY=',"@andaressalud @FuturoVegetal @PSOE @ppopular Toda persona vegana sabe que el impacto 0 es imposible, el objetivo es no ser partícipe del sufrimiento y explotación animal y reducirlo al máximo. Dicho esto, para cada 1 kg de 🥩 se necesitan 25-42 kg 🌱 🥴 Veo que de Matemáticas también andas pocho.",toda persona vegana sabe que el impacto es imposible el objetivo es no ser partícipe del sufrimiento y explotación animal y reducirlo al máximo dicho esto para cada kg de se necesitan kg veo que de matemáticas también andas pocho,Every vegan person knows that the impact is impossible the objective is not to be involved in the suffering and animal exploitation and to reduce it to the maximum said this for every kg of are needed kg I see that of mathematics you also go pocho
b'gAAAAABkk1GUUCoTuoGkwwJxquTj1qxdFu1DH9NcGN80H6JlugNNjTqcyWok9VaYJjz4EvgnSioao0ppgwbNBXKDYrCBL2RPiiUOordJmW9quZ0bTR8FJI8=',"@UCC13082 @jdfranko @Bitterkasss @ensalada_pepino @barbarillapc Pues por lo pronto no sabe la definición de veganismo y ha dicho que estamos adoctrinados, si eso no deja clara su ignorancia y su oposición, apague y vámonos.",pues por lo pronto no sabe la definición de veganismo y ha dicho que estamos adoctrinados si eso no deja clara su ignorancia y su oposición apague y vámonos,For now he does not know the definition of veganism and has said that we are indoctrinated if that does not make clear his ignorance and his opposition turn off and let's go
b'gAAAAABkk1GUP7lVLCgvKIFNprAKY1xcaKtj4RHEq2l8J8ydtuTBty4QRg_r_rbMQt5_zYjoBf-zAhQSI7RpQ6ZBipvfADO0-QMKyVSqPINr-KB2kyQi4DQ=',"@t_rexvegano @xio9619_ Nunca utilizo comentarios destructivos hacia personas ovolacteovegetarianas o que consuman carne o pescado, lo hago hacia personas que tachan a los veganos/as de triscas o echan 💩 encima, no confundas 🙏",nunca utilizo comentarios destructivos hacia personas ovolacteovegetarianas o que consuman carne o pescado lo hago hacia personas que tachan a los veganosas de triscas o echan encima no confundas,"I never use destructive comments towards people who eat meat or fish, or who eat meat or fish, towards people who cross out the vegans from triscas or throw over them, don't confuse them."
b'gAAAAABkk1GU7jLyZ23zBUk7ElEXpQDoZdjrCSldcbt1pJjVf2fyhKkkZn19tOwGI5jGNHaTj2yET7zfbiaaeajZcArxQdQoFE9p_K_q3xtkWeThyIlGVLw=',"@BrocoLooco No se por qué el bloqueo, pero sus acciones de adnv tienen mucho más impacto q una cuenta de twiter bromeando sobre veganismo y antiespecismo, sobretodo por un alcance hacia un público más amplio. Así q menos criticar y dividir, porque ante la emergencia, lo importante es actuar",no se por qué el bloqueo pero sus acciones de adnv tienen mucho más impacto q una cuenta de twiter bromeando sobre veganismo y antiespecismo sobretodo por un alcance hacia un público más amplio así q menos criticar y dividir porque ante la emergencia lo importante es actuar,I don't know why the blockade but his adnv actions have much more impact than a twitter account joking about veganism and antispeciesism especially for a reach towards a wider audience so much less criticize and divide because in the face of the emergency the important thing is to act
b'gAAAAABkk1GUPIMcnG8F44I9EdHCKqHjhe1DlxJ57obL_0uCU142TfFbXtrhGEO2bmUifcmWDop8YKrBNU7OLNrG464KhanWDpAWDv9uukavYLE1rXPbpKM=',"@BrocoLooco @jmmulet Es uno de los mayores cuñados con los que me he encontrado en Twitter. Me insultó y bloqueó porque me reí de él porque decía que los ultraprocesados veganos eran malos para el planeta y la salud humana, pero los procesados cárnicos no, justo lo contrario.",es uno de los mayores cuñados con los que me he encontrado en twitter me insultó y bloqueó porque me reí de él porque decía que los ultraprocesados veganos eran malos para el planeta y la salud humana pero los procesados cárnicos no justo lo contrario,He's one of the biggest brother-in-laws I've met on twitter insulted me and blocked me because I laughed at him because he said vegan ultraprocesses were bad for the planet and human health but the meat processors didn't just the opposite.
b'gAAAAABkk1GUXkZJagO7Ne_uFulva_o_I-UmkGv7BGEMpwA1eNLYNCFruXb3V-VU3l0SU31G8jDwUVH_F8lSzCkB35S_RJIc7ZbfmGEKk5E8CbLedK9ccO8=',"Los animales no humanos no pueden ser un complemento, tienen que ser un pilar principal, tienen que ser protagonistas. Todo el veganismo debería tirar para el mismo lado, si de verdad queremos llegar más lejos, siempre por ellos. Todo el veganismo votando por ellos, se consigue.",los animales no humanos no pueden ser un complemento tienen que ser un pilar principal tienen que ser protagonistas todo el veganismo debería tirar para el mismo lado si de verdad queremos llegar más lejos siempre por ellos todo el veganismo votando por ellos se consigue,nonhuman animals cannot be a complement they have to be a main pillar they have to be protagonists all veganism should throw on the same side if we really want to go further always for them all veganism voting for them is achieved
b'gAAAAABkk1GU6Glra3zVbaLnhWGHRi3Uh8zDLiRN8U_YuTfywwMU2V7GEFaF_tmn7wYvKM149YUUQ5MJ2u-jzdKnAs60zHeqSao26s1IH1Np0Yf4scty59M=',"Malditxs veganxs con su evidencia empírica, datos científicos, razonamiento moral fundamentado, empatía y compasión.\n\nhttps://t.co/Jrg8Y8w7H2",malditxs veganxs con su evidencia empírica datos científicos razonamiento moral fundamentado empatía y compasión,maleditxs veganxs with their empirical evidence scientific data moral reasoning grounded empathy and compassion
b'gAAAAABkk1GUT03_vECySJLt2CbRfz9_k7jTPyLM82PTPVYUmKOyOve5G5SYnMuCHx9t3358yMxs7eytfs6WX5ydcu-4eBvk38TJ-dRuO9_6cy9PudfR7aw=',"@ByronJos04 @kurotzuno @Geno74145833 Pues a mi me gusta la vegana, además que sabes que no ha muerto ningún animal.",pues a mi me gusta la vegana además que sabes que no ha muerto ningún animal,"Well, I like vegan. Besides, you know no animals have died."
b'gAAAAABkk1GUbuctVXkkd03_Cmp7fzlgBfuKhJSh1TRn6RRFk5a0o92FhtnMpxfOAwWZgHns68TrpEZHFEW-CY4V9WEtOm6QpE8Iliv4z1fWP2YUcrlNDMU=',@libertad_vegana No vale de nada ser vegano y compartir algo con armesillas,no vale de nada ser vegano y compartir algo con armesillas,It's no use being vegan and sharing something with guns.
b'gAAAAABkk1GUn_mYFp97RfKeAhHZz7pTSNjGO4r1YorbiIzCxax52g8UYxguiaTgNaDlMWnOxaMrvv5cKjEDTddbpwBD70NI3WqW9649yiL1xnpHZ44n_UI=',Los pesticidas de los veganos\nhttps://t.co/pvyspH3FrF https://t.co/jiTqitaGdf,los pesticidas de los veganos,pesticides of vegans
b'gAAAAABkk1GUqKMuexCrmyEpSvGMGti13Taw3eixi9jdtlCxKWadIRWon_k2ozIqEf7BM30U2Ro2Z_GK7SdoAaInCpeFGT7qSl77x_AoXAdDtdrLHTlssEE=',"""El feminismo no debería adoptar el vegetarianismo simplemente porque es una negación del mundo dominante. Debería adoptarlo por lo que es y representa. El vegetarianismo es, de hecho, profundamente proactivo y transformador. Es también delicioso. +",el feminismo no debería adoptar el vegetarianismo simplemente porque es una negación del mundo dominante debería adoptarlo por lo que es y representa el vegetarianismo es de hecho profundamente proactivo y transformador es también delicioso,feminism should not adopt vegetarianism simply because it is a negation of the dominant world should adopt it for what it is and represents vegetarianism is in fact deeply proactive and transformative is also delicious
b'gAAAAABkk1GU66vTud2caCizFZm235fBNTSuyOFzHvBxWsXKzhkUxcB1sLnjSVBsifoDVl5PFlIWLLKG1VU-lGL9Qesz4WDpSV6QUYpGims4ZjXpG0GeN3g=',"Preguntas a ChatGPT sobre veganismo y otras cosas... 🧛‍♀️🍲⛹️‍♀️Vampiros que comen seitán, deporte y restaurantes 🖥️Todo copia y pega https://t.co/kUDhe1y9Go",preguntas a chatgpt sobre veganismo y otras cosas vampiros que comen seitán deporte y restaurantes todo copia y pega,questions to chatgpt about veganism and other vampire things that eat seitan sport and restaurants all copy and paste
b'gAAAAABkk1GUKYeFx7ZfMzCOVHIQvDatwSaIU4-SvT-GV6saqzxARhjfgnwj1Q4mAK8m-1YDZiwbHXzxShg7crfLQU_WAs_3KOQjGjmQl42ZuQ8GsHN7bpA=',¿Quién puede seguir una dieta vegana? 👀 ¡Cualquier persona! 💚\nhttps://t.co/FJRK4SCjaN,¿quién puede seguir una dieta vegana ¡cualquier persona,Who can follow a vegan diet anyone
b'gAAAAABkk1GUlkztiq2mKpjRNKcSQt7lAhDBBQ03iJSpU2qbmUShllx3yty0h5TRM23Qwe7s6OEK9yNeVAWp9kueHHUsIP98bowUQa0fjcxwv5AeR2QgUyo=',@Telomerasa0406 @Greenpeace @greenpeace_esp @WWFespana @WWFnoticias @franciscoactiv2 ¡Una vegana con los ojos abiertos! Venga que cada día el mundo es mejor gracias a acciones como esta... aunqur deberías leer e investigar siempre un poquito más. Eh. Pero gracias y disfruta del veganismo.,¡una vegana con los ojos abiertos venga que cada día el mundo es mejor gracias a acciones como esta aunqur deberías leer e investigar siempre un poquito más eh pero gracias y disfruta del veganismo,A vegan with her eyes open come that every day the world is better thanks to actions like this evenqur you should always read and investigate a little more eh but thank you and enjoy veganism
b'gAAAAABkk1GUL90zNvlI3HtZcHC8FpvFmxcNQQbkd4xhlJxgCNBLyAxnDZzNMWomO0V8o7LCXp44D3mT8XSQumqddhjZXWTNY7pSfyTSngRBkqszajni6ok=',⏱️ El misterio de más de 2.300 años de los números primos https://t.co/niqtJeVW5n,⏱ el misterio de más de años de los números primos,the mystery of more than years of prime numbers
b'gAAAAABkk1GU50YBz1Awj6hzDiAum7sAuVbwZADcPj8NCsEW7BBSll4qTbv1LvGa9vNZtukqydHpPOQjTup8Wo9shvU-PegeIJnAzC3FZnILqgGvP0og5uM=',"🪂 El Museo Thyssen-Bornemisza, una joya del Impresionismo en el paseo del Prado https://t.co/bwIL2GnNEI",el museo thyssenbornemisza una joya del impresionismo en el paseo del prado,the museum thyssenbornemisza a jewel of Impressionism on the walk of the meadow
b'gAAAAABkk1GU7qYFxGIYgd9ARqLUNBMsbszRLAnIQoKWgY9lIc64R2cCZiWAvftVKrejIE75qnHIe899cjTT_wXnH3AO235NwWwAiX4qk_QsQEOD0Qxafho=',@Elpoliticonews Hay personas que no entienden según que terminología o conceptos y comprometido con la #EducaciónFinanciera publiqué un artículo donde se explica que es #DeFi \nhttps://t.co/zaQiygAqom,hay personas que no entienden según que terminología o conceptos y comprometido con la educaciónfinanciera publiqué un artículo donde se explica que es defi,There are people who do not understand according to which terminology or concepts and committed to financial education I published an article explaining that it is defi
b'gAAAAABkk1GUYEiA6Dz4BR7XdMWpGArEcEkHO5aKZl0WDjQ91wsI1ab9bm8TP9bTEKNzyKBilLATJkIeyTUNy0NTvqmtM3RfrDjGLVD3UoiIWvzX0v45GBE=',@adara_sanchez @trimm_trabb Me gustó mucho pero me extraña que no la elogie más,me gustó mucho pero me extraña que no la elogie más,I liked her a lot but I'm surprised she didn't praise her any more.
b'gAAAAABkk1GUnplK5SSu7nFKgK2Kkvu1zst1auF7Cv3Tf3rUwbvs_nBW-91DqbakT-VmID8xCcD4v4zIjSHCP7EkhwEPprBmhYK50yeJ0d9u1-Wv4gbQ2kw=',@derteros Has pensao ya cuando y como vas a ir cielo? A ver si me cuentas uwu,has pensao ya cuando y como vas a ir cielo a ver si me cuentas uwu,You've already thought when and how you're gonna go sky to see if you tell me uwu
b'gAAAAABkk1GUrg296FG0FLc7YhbmyJTkENoZL3_aWQU8_W0hCvwn2FNTWgkEisTj28eVmQkx1R7h0ysf0EwKAaiAKfBmvNGuQh1N7t47FbqfJAxu0hwJVvY=',🔅 Corea del Norte: Un país aislado y restringido de las noticias del mundo https://t.co/1JmQrMketp,corea del norte un país aislado y restringido de las noticias del mundo,North Korea a country isolated and restricted from world news
b'gAAAAABkk1GUTLmyqDsX8XftM6fS8_S8Lx8_a0sgudfncmExh-ooPMOFRTOr6xtTn_HU6ItmAz2WCrshh6p8_41VnFnjEdVRWEzCZ0FTkrN7KvbZ5W9LFXs=',"¿Me ayudáis, porfi? \nNecesito un perfil de un entrenador personal que haya trabajado para un club, o con jugadores de esport, o sino con streamers. Es para una charla remunerada.",¿me ayudáis porfi necesito un perfil de un entrenador personal que haya trabajado para un club o con jugadores de esport o sino con streamers es para una charla remunerada,I need a profile of a personal trainer who has worked for a club or with esport players or if not with streamers is for a paid chat
b'gAAAAABkk1GUB2gUwsSErSSr2P7OV8RhzHPt6BuhoIL_ogprTzQcDJ039gtBwqQ8jTWi_Z3r5JJ1qrivnPA1OPriEBo6mLoiwdEWlHmNrMmtj2go90YSiDg=',🚧 50 años de la primera llamada móvil: cómo Martin Cooper cambió el mundo de las comunicaciones https://t.co/QmCUuh8fYy,años de la primera llamada móvil cómo martin cooper cambió el mundo de las comunicaciones,years of the first mobile call how Martin Cooper changed the world of communications
b'gAAAAABkk1GUP0TY_SzvLCYf5YwqNKeVl1N2KiuuHuxVQVSqcX_u0TZmAD8OWfgC48MK3evC2eKuSfXYz_XkzCPP-_Z-1CYbUHZywrMm-7OiU327og3jOLs=',@marcomes61 @Triplerebotao @PODEMOS Y si no quieres que te digan verdades a la cara no intervengas que esta pregunta no era para suciolistos,y si no quieres que te digan verdades a la cara no intervengas que esta pregunta no era para suciolistos,And if you don't want to be told truths in your face don't intervene that this question wasn't for dirty guys.
b'gAAAAABkk1GU_YJ0Q0PwRJ4MMHlz-igIF85yqAEAXGMqIYYdoCxer3yOuzFw2smkh_NzFpL30lAZvcIQMVG-ZjZKsxEzc5n7adyjGCd4kMWHNTKsqnNKxDY=',"🌱 #LEKALEAK | Producción local de harinas de legumbre para alimentos #plantbased\n\n🔹Lidera #UAGA; participan #BasqueFoodCluster, #Delicass, Sociedad Alternativa de Cultivos Alaveses, @leartiker y @neiker_BRTA\n\nFinancian: fondos FEADER (UE) y @Gob_eus \n\n➕https://t.co/mdnQpwnBA2 https://t.co/46Etb0OLQh",lekaleak producción local de harinas de legumbre para alimentos plantbasedlidera uaga participan basquefoodcluster delicass sociedad alternativa de cultivos alaveses y financian fondos feader ue y,Lekaleak local production of legume flours for food plantsedlidera Ouagadougou participate basquefoodclusters of the alaves alternative society of crops and finance funds feder ue and
b'gAAAAABkk1GUAvDgLaKjYyYe6ezaeeT2GPKa2Xo7W9bau_pwLaI7_Tl7k5AETl7nfflTU6onGUW4YaEhMTlUn0j2NcMeML9lIQB27hUKBI2zDUi9fAZfEec=',"@ImSeudo A lo mejor se te va gran parte de presupuesto en glifosato o herbicidas, 🤬",a lo mejor se te va gran parte de presupuesto en glifosato o herbicidas,Maybe you're running a lot of budget in glyphosate or herbicides.
b'gAAAAABkk1GUzVrf1y_Jqe2QiIpXjDSPObSPRm93em7tokLdUcmrcC6qiYDF_CrtkcWiEPEeiMxpy9a_ZZzCbGXsJJZJ0fo2LYpNzab5UUVI9-c-YrStYNw=',@Verindipity Que bien!! Amo a las dos! A mi me toco rapunzel,que bien amo a las dos a mi me toco rapunzel,I love both of you. I touch me rapunzel.
b'gAAAAABkk1GU63L4vGzhaItgKgQ_c5BBxH9frODGWLEKzdFRusf55W0mPA3AzIwdkL2AaPudE8hb2KFrhMAf2RVxZgGbeJMFOedO0MIByT6JxT1cdDxCiC0=',"Bueno, al menos no es una filtración a una semana de una hipotética final de uwcl 😑 https://t.co/7oKmgHC3Xv",bueno al menos no es una filtración a una semana de una hipotética final de uwcl,"Well, at least it's not a one-week leak from a hypothetical uwcl finale."
b'gAAAAABkk1GUZXcP5SeZINSwa_giWklwo6Mw88GKh35DkpAQqgDwPAwF08Mxvcgo_7KtngDMULXE_k8Ang8B2-mpjve_ZyCS80lCWfb4fmk6cEpfxHXY2w8=',📣 Los efectos positivos de practicar la caminata nórdica https://t.co/2uunY27LUB,los efectos positivos de practicar la caminata nórdica,the positive effects of practicing the Nordic hike
b'gAAAAABkk1GUfZHMjuUfg3FA0ywzEHjAhqMvOrJYp9vTFuoAxgttO8I9sJOVgjUSjsYFhs0-2vIXLrMpDo8Kjy01Eder0Q25mNjOeNnwiI2gjB3zA-AgT64=',@Basilio_rm @AlexChiner No hay que mezclar política y deporte.,no hay que mezclar política y deporte,not to mix politics and sport
b'gAAAAABkk1GUbdQskyjO52HGkJsCsENVf8inX2mRKVf_YrOt8ngnLelK3ycgQBkWX_gzTXTY3XU6msoaG1L4pqn_DIAh-2JMMmWiBfezA3uvC3zwxGdAdd0=',@elonmusk Porque existe BTS no porque tú hagas Twitter más interesante,porque existe bts no porque tú hagas twitter más interesante,Because there's bts not because you make twitter more interesting.
b'gAAAAABkk1GUyjbFrIPQ-LN7dd5_zVQEOW2HGi3EhJRhh7KKdYYBrHydtuVdUqw7NVjm3jSGBtOUWkIG9nahCkmlkooXtoWBoj65tpaG9y00JJoVZFzuMvE=',➡️ La razón por la que tenemos mal aliento cuando despertamos https://t.co/IN6Acrwy4b,la razón por la que tenemos mal aliento cuando despertamos,the reason we have bad breath when we wake up
b'gAAAAABkk1GU49jSL8TtBp5dnrFAoxplEqzovzFv4jzJu7Unfg3txYFRCDWtw6cgSwXIv_1_8q021dqIJJPZNWdTDlC2YxY7HNHgURiwImD36fCGTGLhuLc=',"Estás que tengo hambre después de la tarde que llevo, voy a pillar mis cosas y ya llegaré de madrugada cuando esté dormida señora madre.",estás que tengo hambre después de la tarde que llevo voy a pillar mis cosas y ya llegaré de madrugada cuando esté dormida señora madre,"You're that I'm hungry after the afternoon I'm gonna get my stuff, and I'll be here in the morning when I'm asleep, ma'am."
b'gAAAAABkk1GUcQhY1Sg_95AlW0eIoisjbNmq09aHdBb2SOM6_kGy0DnJB8xdrBRnZL9DZe-J0SLcIOdtpT2CdJ81tJcOaUXOKDOB6aB3iaVQZPoolsWpW-c=',"🌀 Mary Astell, la filósofa que sentó las bases del feminismo moderno https://t.co/PCGwNgj2iw",mary astell la filósofa que sentó las bases del feminismo moderno,mary astell the philosopher who laid the foundations of modern feminism
